Date,Timepoint,Treatment,Rep,Plated,Count,Dilution,Titer,Status,Notes
20211119,3,2811,5,Bacteria,0,0,0.00E+00,Good,
20211119,3,2811,6,Bacteria,9,2,9.00E+03,Good,
20211119,3,Cocktail,1,Bacteria,98,6,9.80E+08,Good,
20211119,3,Cocktail,2,Bacteria,181,6,1.81E+09,Good,
20211119,3,Cocktail,3,Bacteria,193,2,1.93E+05,Good,
20211119,3,Cocktail,4,Bacteria,155,3,1.55E+06,Good,
20211119,3,Cocktail,5,Bacteria,15,3,1.50E+05,Good,
20211119,3,Cocktail,6,Bacteria,51,3,5.10E+05,Good,
20211119,3,2811,1,Phage_606,0,0,0.00E+00,Good,
20211119,3,2811,2,Phage_606,5,4,2.50E+07,Good,
20211119,3,2811,3,Phage_606,33,3,1.65E+07,Good,
20211119,3,2811,4,Phage_606,2,0,1.00E+03,Good,
20211119,3,2811,5,Phage_606,0,0,0.00E+00,Good,
20211119,3,2811,6,Phage_606,27,5,1.35E+09,Good,
20211119,3,Cocktail,1,Phage_606,9,4,4.50E+07,Good,
20211119,3,Cocktail,2,Phage_606,10,4,5.00E+07,Good,
20211119,3,Cocktail,3,Phage_606,9,5,4.50E+08,Good,
20211119,3,Cocktail,4,Phage_606,8,4,4.00E+07,Good,
20211119,3,Cocktail,5,Phage_606,3,4,1.50E+07,Good,
20211119,3,Cocktail,6,Phage_606,5,5,2.50E+08,Good,
20211119,3,2811,1,Phage_Lminus,0,0,0.00E+00,Good,
20211119,3,2811,2,Phage_Lminus,42,3,2.10E+07,Good,
20211119,3,2811,3,Phage_Lminus,11,4,5.50E+07,Good,
20211119,3,2811,4,Phage_Lminus,0,0,0.00E+00,Good,
20211119,3,2811,5,Phage_Lminus,0,0,0.00E+00,Good,
20211119,3,2811,6,Phage_Lminus,15,5,7.50E+08,Good,
20211119,3,Cocktail,1,Phage_Lminus,5,1,2.50E+04,Good,
20211119,3,Cocktail,2,Phage_Lminus,10,3,5.00E+06,Good,
20211119,3,Cocktail,3,Phage_Lminus,30,4,1.50E+08,Good,
20211119,3,Cocktail,4,Phage_Lminus,9,4,4.50E+07,Good,
20211119,3,Cocktail,5,Phage_Lminus,5,4,2.50E+07,Good,
20211119,3,Cocktail,6,Phage_Lminus,13,4,6.50E+07,Good,
20211119,3,2811,1,Phage_Ominus,0,0,0.00E+00,Good,
20211119,3,2811,2,Phage_Ominus,3,4,1.50E+07,Good,
20211119,3,2811,3,Phage_Ominus,10,4,5.00E+07,Good,
20211119,3,2811,4,Phage_Ominus,0,0,0.00E+00,Good,
20211119,3,2811,5,Phage_Ominus,0,0,0.00E+00,Good,
20211119,3,2811,6,Phage_Ominus,40,5,2.00E+09,Good,
20211119,3,Cocktail,1,Phage_Ominus,8,4,4.00E+07,Good,
20211119,3,Cocktail,2,Phage_Ominus,3,4,1.50E+07,Good,
20211119,3,Cocktail,3,Phage_Ominus,31,4,1.55E+08,Good,
20211119,3,Cocktail,4,Phage_Ominus,9,4,4.50E+07,Good,
20211119,3,Cocktail,5,Phage_Ominus,6,3,3.00E+06,Good,
20211119,3,Cocktail,6,Phage_Ominus,23,5,1.15E+09,Good,
20211120,4,2811,1,Bacteria,0,0,0.00E+00,Good,
20211120,4,2811,2,Bacteria,27,2,2.70E+04,Good,
20211120,4,2811,3,Bacteria,3,0,3.00E+01,Good,
20211120,4,2811,4,Bacteria,0,0,0.00E+00,Good,
20211120,4,2811,5,Bacteria,0,0,0.00E+00,Good,
20211120,4,2811,6,Bacteria,336,2,3.36E+05,Good,
20211120,4,Cocktail,1,Bacteria,120,6,1.20E+09,Good,
20211120,4,Cocktail,2,Bacteria,128,6,1.28E+09,Good,
20211120,4,Cocktail,3,Bacteria,28,4,2.80E+06,Good,
20211120,4,Cocktail,4,Bacteria,132,6,1.32E+09,Good,
20211120,4,Cocktail,5,Bacteria,33,4,3.30E+06,Good,
20211120,4,Cocktail,6,Bacteria,49,2,4.90E+04,Good,
20211120,4,2811,1,Phage_606,0,0,0.00E+00,Good,
20211120,4,2811,2,Phage_606,12,3,6.00E+06,Good,
20211120,4,2811,3,Phage_606,29,3,1.45E+07,Good,
20211120,4,2811,4,Phage_606,0,0,0.00E+00,Good,
20211120,4,2811,5,Phage_606,0,0,0.00E+00,Good,
20211120,4,2811,6,Phage_606,21,2,1.05E+06,Good,
20211120,4,Cocktail,1,Phage_606,8,3,4.00E+06,Good,
20211120,4,Cocktail,2,Phage_606,11,3,5.50E+06,Good,
20211120,4,Cocktail,3,Phage_606,19,4,9.50E+07,Good,
20211120,4,Cocktail,4,Phage_606,19,3,9.50E+06,Good,
20211120,4,Cocktail,5,Phage_606,7,4,3.50E+07,Good,
20211120,4,Cocktail,6,Phage_606,33,4,1.65E+08,Good,
20211120,4,2811,1,Phage_Lminus,0,0,0.00E+00,Good,
20211120,4,2811,2,Phage_Lminus,11,3,5.50E+06,Good,
20211120,4,2811,3,Phage_Lminus,30,3,1.50E+07,Good,
20211120,4,2811,4,Phage_Lminus,0,0,0.00E+00,Good,
20211120,4,2811,5,Phage_Lminus,0,0,0.00E+00,Good,
20211120,4,2811,6,Phage_Lminus,6,2,3.00E+05,Good,
20211120,4,Cocktail,1,Phage_Lminus,6,0,3.00E+03,Good,
20211120,4,Cocktail,2,Phage_Lminus,8,3,4.00E+06,Good,
20211120,4,Cocktail,3,Phage_Lminus,6,4,3.00E+07,Good,
20211120,4,Cocktail,4,Phage_Lminus,5,4,2.50E+07,Good,
20211120,4,Cocktail,5,Phage_Lminus,5,4,2.50E+07,Good,
20211120,4,Cocktail,6,Phage_Lminus,15,4,7.50E+07,Good,
20211120,4,2811,1,Phage_Ominus,0,0,0.00E+00,Good,
20211120,4,2811,2,Phage_Ominus,18,3,9.00E+06,Good,
20211120,4,2811,3,Phage_Ominus,29,3,1.45E+07,Good,
20211120,4,2811,4,Phage_Ominus,0,0,0.00E+00,Good,
20211120,4,2811,5,Phage_Ominus,0,0,0.00E+00,Good,
20211120,4,2811,6,Phage_Ominus,18,2,9.00E+05,Good,
20211120,4,Cocktail,1,Phage_Ominus,9,2,4.50E+05,Good,
20211120,4,Cocktail,2,Phage_Ominus,17,2,8.50E+05,Good,
20211120,4,Cocktail,3,Phage_Ominus,5,5,2.50E+08,Good,
20211120,4,Cocktail,4,Phage_Ominus,5,3,2.50E+06,Good,
20211120,4,Cocktail,5,Phage_Ominus,16,3,8.00E+06,Good,
20211120,4,Cocktail,6,Phage_Ominus,7,5,3.50E+08,Good,
20211121,5,2811,1,Bacteria,0,0,0.00E+00,Good,
20211121,5,2811,2,Bacteria,15,2,1.50E+04,Good,
20211121,5,2811,3,Bacteria,74,0,7.40E+02,Good,
20211121,5,2811,4,Bacteria,0,0,0.00E+00,Good,
20211121,5,2811,5,Bacteria,0,2,0.00E+00,Good,
20211121,5,2811,6,Bacteria,4,3,4.00E+04,Good,
20211121,5,Cocktail,1,Bacteria,83,6,8.30E+08,Good,
20211121,5,Cocktail,2,Bacteria,137,6,1.37E+09,Good,
20211121,5,Cocktail,3,Bacteria,45,3,4.50E+05,Good,
20211121,5,Cocktail,4,Bacteria,117,6,1.17E+09,Good,
20211121,5,Cocktail,5,Bacteria,109,3,1.09E+06,Good,
20211121,5,Cocktail,6,Bacteria,94,5,9.40E+07,Good,
20211121,5,2811,1,Phage_606,0,0,0.00E+00,Good,
20211121,5,2811,2,Phage_606,0,0,0.00E+00,Good,
20211121,5,2811,3,Phage_606,13,3,6.50E+06,Good,
20211121,5,2811,4,Phage_606,0,0,0.00E+00,Good,
20211121,5,2811,5,Phage_606,0,0,0.00E+00,Good,
20211121,5,2811,6,Phage_606,9,6,4.50E+09,Good,
20211121,5,Cocktail,1,Phage_606,8,3,4.00E+06,Good,
20211121,5,Cocktail,2,Phage_606,10,3,5.00E+06,Good,
20211121,5,Cocktail,3,Phage_606,14,4,7.00E+07,Good,
20211121,5,Cocktail,4,Phage_606,12,2,6.00E+05,Good,
20211121,5,Cocktail,5,Phage_606,6,6,3.00E+09,Good,
20211121,5,Cocktail,6,Phage_606,9,4,4.50E+07,Good,
20211121,5,2811,1,Phage_Lminus,0,0,0.00E+00,Good,
20211121,5,2811,2,Phage_Lminus,0,0,0.00E+00,Good,
20211121,5,2811,3,Phage_Lminus,7,4,3.50E+07,Good,
20211121,5,2811,4,Phage_Lminus,0,0,0.00E+00,Good,
20211121,5,2811,5,Phage_Lminus,0,0,0.00E+00,Good,
20211121,5,2811,6,Phage_Lminus,13,6,6.50E+09,Good,
20211121,5,Cocktail,1,Phage_Lminus,4,1,2.00E+04,Good,
20211121,5,Cocktail,2,Phage_Lminus,4,3,2.00E+06,Good,
20211121,5,Cocktail,3,Phage_Lminus,7,5,3.50E+08,Good,
20211121,5,Cocktail,4,Phage_Lminus,9,2,4.50E+05,Good,
20211121,5,Cocktail,5,Phage_Lminus,22,4,1.10E+08,Good,
20211121,5,Cocktail,6,Phage_Lminus,16,4,8.00E+07,Good,
20211121,5,2811,1,Phage_Ominus,0,0,0.00E+00,Good,
20211121,5,2811,2,Phage_Ominus,0,0,0.00E+00,Good,
20211121,5,2811,3,Phage_Ominus,3,4,1.50E+07,Good,
20211121,5,2811,4,Phage_Ominus,0,0,0.00E+00,Good,
20211121,5,2811,5,Phage_Ominus,0,0,0.00E+00,Good,
20211121,5,2811,6,Phage_Ominus,7,6,3.50E+09,Good,
20211121,5,Cocktail,1,Phage_Ominus,6,3,3.00E+06,Good,
20211121,5,Cocktail,2,Phage_Ominus,3,3,1.50E+06,Good,
20211121,5,Cocktail,3,Phage_Ominus,11,2,5.50E+05,Good,
20211121,5,Cocktail,4,Phage_Ominus,10,2,5.00E+05,Good,
20211121,5,Cocktail,5,Phage_Ominus,31,6,1.55E+10,Good,
20211121,5,Cocktail,6,Phage_Ominus,30,3,1.50E+07,Good,
20211122,6,2811,1,Bacteria,0,0,0.00E+00,Good,
20211122,6,2811,2,Bacteria,93,2,9.30E+04,Good,
20211122,6,2811,3,Bacteria,79,2,7.90E+04,Good,
20211122,6,2811,4,Bacteria,0,0,0.00E+00,Good,
20211122,6,2811,5,Bacteria,0,0,0.00E+00,Good,
