Date,Treatment,Rep,Timepoint,Plated,Count,Dilution,Titer
20210331,cI26,1,3,Phage_Lminus,0,0,0.00E+00
20210331,cI26,2,3,Phage_Lminus,0,0,0.00E+00
20210331,cI26,3,3,Phage_Lminus,0,0,0.00E+00
20210331,EvoC,1,3,Phage_Lminus,3,5,1.50E+08
20210331,EvoC,2,3,Phage_Lminus,8,2,4.00E+05
20210331,EvoC,3,3,Phage_Lminus,30,4,1.50E+08
20210331,LamB Spec,1,3,Phage_Lminus,6,4,3.00E+07
20210331,LamB Spec,2,3,Phage_Lminus,29,4,1.45E+08
20210331,LamB Spec,3,3,Phage_Lminus,11,4,5.50E+07
20210331,OmpF Spec,1,3,Phage_Lminus,9,3,4.50E+06
20210331,OmpF Spec,2,3,Phage_Lminus,9,3,4.50E+06
20210331,OmpF Spec,3,3,Phage_Lminus,20,4,1.00E+08
20210331,L+O,1,3,Phage_Lminus,0,0,0.00E+00
20210331,L+O,2,3,Phage_Lminus,18,3,9.00E+06
20210331,L+O,3,3,Phage_Lminus,7,3,3.50E+06
20210331,L+O,4,3,Phage_Lminus,7,2,3.50E+05
20210331,L+O,5,3,Phage_Lminus,21,3,1.05E+07
20210331,L+O,6,3,Phage_Lminus,32,3,1.60E+07
20210331,2811,1,3,Phage_Lminus,0,0,0.00E+00
20210331,2811,2,3,Phage_Lminus,0,0,0.00E+00
20210331,2811,3,3,Phage_Lminus,31,2,1.55E+06
20210331,2811,4,3,Phage_Lminus,0,0,0.00E+00
20210331,2811,5,3,Phage_Lminus,14,3,7.00E+06
20210331,2811,6,3,Phage_Lminus,0,0,0.00E+00
20210331,cI26,1,3,Phage_Ominus,18,6,9.00E+09
20210331,cI26,2,3,Phage_Ominus,15,6,7.50E+09
20210331,cI26,3,3,Phage_Ominus,4,6,2.00E+09
20210331,EvoC,1,3,Phage_Ominus,10,5,5.00E+08
20210331,EvoC,2,3,Phage_Ominus,10,2,5.00E+05
20210331,EvoC,3,3,Phage_Ominus,8,5,4.00E+08
20210331,LamB Spec,1,3,Phage_Ominus,19,5,9.50E+08
20210331,LamB Spec,2,3,Phage_Ominus,9,6,4.50E+09
20210331,LamB Spec,3,3,Phage_Ominus,17,6,8.50E+09
20210331,OmpF Spec,1,3,Phage_Ominus,0,0,0.00E+00
20210331,OmpF Spec,2,3,Phage_Ominus,0,0,0.00E+00
20210331,OmpF Spec,3,3,Phage_Ominus,0,0,0.00E+00
20210331,L+O,1,3,Phage_Ominus,0,0,0.00E+00
20210331,L+O,2,3,Phage_Ominus,18,0,9.00E+03
20210331,L+O,3,3,Phage_Ominus,6,2,3.00E+05
20210331,L+O,4,3,Phage_Ominus,2,1,1.00E+04
20210331,L+O,5,3,Phage_Ominus,0,0,0.00E+00
20210331,L+O,6,3,Phage_Ominus,9,2,4.50E+05
20210331,2811,1,3,Phage_Ominus,0,0,0.00E+00
20210331,2811,2,3,Phage_Ominus,0,0,0.00E+00
20210331,2811,3,3,Phage_Ominus,11,3,5.50E+06
20210331,2811,4,3,Phage_Ominus,0,0,0.00E+00
20210331,2811,5,3,Phage_Ominus,20,3,1.00E+07
20210331,2811,6,3,Phage_Ominus,0,0,0.00E+00
20210401,cI26,1,4,Bacteria,32,6,3.20E+08
20210401,cI26,2,4,Bacteria,93,6,9.30E+08
20210401,cI26,3,4,Bacteria,56,6,5.60E+08
20210401,EvoC,1,4,Bacteria,83,3,8.30E+05
20210401,EvoC,2,4,Bacteria,25,3,2.50E+05
20210401,EvoC,3,4,Bacteria,0,6,NA
20210401,LamB Spec,1,4,Bacteria,0,5,NA
20210401,LamB Spec,2,4,Bacteria,70,6,7.00E+08
20210401,LamB Spec,3,4,Bacteria,3,6,3.00E+07
20210401,OmpF Spec,1,4,Bacteria,7,6,7.00E+07
20210401,OmpF Spec,2,4,Bacteria,7,2,7.00E+03
20210401,OmpF Spec,3,4,Bacteria,14,6,1.40E+08
20210401,L+O,1,4,Bacteria,83,6,8.30E+08
20210401,L+O,2,4,Bacteria,367,0,3.67E+03
20210401,L+O,3,4,Bacteria,0,5,NA
20210401,L+O,4,4,Bacteria,6,5,6.00E+06
20210401,L+O,5,4,Bacteria,13,1,1.30E+03
20210401,L+O,6,4,Bacteria,0,0,0.00E+00
20210401,2811,1,4,Bacteria,0,0,0.00E+00
20210401,2811,2,4,Bacteria,0,0,0.00E+00
20210401,2811,3,4,Bacteria,816,0,8.16E+03
20210401,2811,4,4,Bacteria,0,0,0.00E+00
20210401,2811,5,4,Bacteria,0,0,0.00E+00
20210401,2811,6,4,Bacteria,0,0,0.00E+00
20210401,cI26,1,4,Phage_606,18,4,9.00E+07
20210401,cI26,2,4,Phage_606,9,4,4.50E+07
20210401,cI26,3,4,Phage_606,12,3,6.00E+06
20210401,EvoC,1,4,Phage_606,15,4,7.50E+07
20210401,EvoC,2,4,Phage_606,7,2,3.50E+05
20210401,EvoC,3,4,Phage_606,17,5,8.50E+08
20210401,LamB Spec,1,4,Phage_606,3,5,1.50E+08
20210401,LamB Spec,2,4,Phage_606,3,5,1.50E+08
20210401,LamB Spec,3,4,Phage_606,21,5,1.05E+09
20210401,OmpF Spec,1,4,Phage_606,18,5,9.00E+08
20210401,OmpF Spec,2,4,Phage_606,2,3,1.00E+06
20210401,OmpF Spec,3,4,Phage_606,22,5,1.10E+09
20210401,L+O,1,4,Phage_606,0,0,0.00E+00
20210401,L+O,2,4,Phage_606,7,3,3.50E+06
20210401,L+O,3,4,Phage_606,29,4,1.45E+08
20210401,L+O,4,4,Phage_606,23,3,1.15E+07
20210401,L+O,5,4,Phage_606,4,3,2.00E+06
20210401,L+O,6,4,Phage_606,2,0,1.00E+03
20210401,2811,1,4,Phage_606,0,0,0.00E+00
20210401,2811,2,4,Phage_606,0,0,0.00E+00
20210401,2811,3,4,Phage_606,3,3,1.50E+06
20210401,2811,4,4,Phage_606,0,0,0.00E+00
20210401,2811,5,4,Phage_606,1,0,5.00E+02
20210401,2811,6,4,Phage_606,0,0,0.00E+00
20210401,cI26,1,4,Phage_Lminus,0,0,0.00E+00
20210401,cI26,2,4,Phage_Lminus,0,0,0.00E+00
20210401,cI26,3,4,Phage_Lminus,0,0,0.00E+00
20210401,EvoC,1,4,Phage_Lminus,9,4,4.50E+07
20210401,EvoC,2,4,Phage_Lminus,10,2,5.00E+05
20210401,EvoC,3,4,Phage_Lminus,26,5,1.30E+09
20210401,LamB Spec,1,4,Phage_Lminus,3,5,1.50E+08
20210401,LamB Spec,2,4,Phage_Lminus,8,4,4.00E+07
20210401,LamB Spec,3,4,Phage_Lminus,21,4,1.05E+08
20210401,OmpF Spec,1,4,Phage_Lminus,16,5,8.00E+08
20210401,OmpF Spec,2,4,Phage_Lminus,12,3,6.00E+06
