Date,Treatment,Rep,Timepoint,Plated,Count,Dilution,Titer,Status,Notes
20210520,L+O,8,2,Bacteria,1516,2,1.52E+06,Good,
20210520,L+O,9,2,Bacteria,73,6,7.30E+08,REMOVE,
20210520,L+O,10,2,Bacteria,74,3,7.40E+05,Good,
20210520,L+O,11,2,Bacteria,228,0,2.28E+03,Good,
20210520,L+O,12,2,Bacteria,33,2,3.30E+04,Good,
20210520,EvoC,1,2,Phage_606,9,3,4.50E+06,Good,
20210520,EvoC,2,2,Phage_606,17,2,8.50E+05,Good,
20210520,EvoC,3,2,Phage_606,0,0,0.00E+00,REMOVE,
20210520,EvoC,4,2,Phage_606,18,4,9.00E+07,Good,
20210520,EvoC,5,2,Phage_606,9,4,4.50E+07,Good,
20210520,EvoC,6,2,Phage_606,5,4,2.50E+07,Good,
20210520,EvoC,7,2,Phage_606,27,4,1.35E+08,Good,
20210520,EvoC,8,2,Phage_606,15,4,7.50E+07,Good,
20210520,EvoC,9,2,Phage_606,11,4,5.50E+07,Good,
20210520,EvoC,10,2,Phage_606,0,0,0.00E+00,REMOVE,
20210520,EvoC,11,2,Phage_606,8,5,4.00E+08,Good,
20210520,EvoC,12,2,Phage_606,0,0,0.00E+00,Good,
20210520,L+O,1,2,Phage_606,10,5,5.00E+08,Good,
20210520,L+O,2,2,Phage_606,7,4,3.50E+07,Good,
20210520,L+O,3,2,Phage_606,11,5,5.50E+08,Good,
20210520,L+O,4,2,Phage_606,9,3,4.50E+06,Good,
20210520,L+O,5,2,Phage_606,16,5,8.00E+08,Good,
20210520,L+O,6,2,Phage_606,29,3,1.45E+07,Good,
20210520,L+O,7,2,Phage_606,6,5,3.00E+08,Good,
20210520,L+O,8,2,Phage_606,37,3,1.85E+07,Good,
20210520,L+O,9,2,Phage_606,0,0,0.00E+00,REMOVE,
20210520,L+O,10,2,Phage_606,5,6,2.50E+09,Good,
20210520,L+O,11,2,Phage_606,36,3,1.80E+07,Good,
20210520,L+O,12,2,Phage_606,38,3,1.90E+07,Good,
20210520,EvoC,1,2,Phage_Lminus,10,3,5.00E+06,Good,
20210520,EvoC,2,2,Phage_Lminus,22,2,1.10E+06,Good,
20210520,EvoC,3,2,Phage_Lminus,0,0,0.00E+00,REMOVE,
20210520,EvoC,4,2,Phage_Lminus,15,4,7.50E+07,Good,
20210520,EvoC,5,2,Phage_Lminus,6,4,3.00E+07,Good,
20210520,EvoC,6,2,Phage_Lminus,25,3,1.25E+07,Good,
